bx,by,bz,rx,ry,rz,heading
1.35,0.048556637,1.03,-2.001716,0.32127526,0.7594638,-0.057354919612407684
1.2445754,0.038166508,1.063084,-2.0043383,0.3219374,0.7609936,-0.034680869430303574
1.140294,0.027889038,1.0919042,-2.0062,0.32293016,0.75763136,-0.017134658992290497
1.0371205,0.017720757,1.1165129,-2.00749,0.32381254,0.7505277,0.0013405525824055076
0.93502235,0.0076584676,1.1369596,-2.0088997,0.3241645,0.74101347,0.023142360150814056
0.83396983,-0.002300777,1.153291,-2.0103936,0.32432568,0.72909427,0.048433348536491394
0.7339356,-0.012159675,1.1655513,-2.0112982,0.32444885,0.7155527,0.07722611725330353
0.6348945,-0.02192069,1.1737835,-2.0107887,0.32378682,0.70378757,0.09497576206922531
0.5368238,-0.031586066,1.1780282,-2.0088809,0.32176974,0.6953729,0.09715286642313004
0.43970305,-0.04115782,1.178325,-2.006253,0.31831953,0.6891966,0.09042089432477951
0.34351373,-0.050637774,1.174712,-2.003583,0.3134734,0.68444526,0.08049771934747696
0.24823958,-0.060027536,1.1672258,-2.0011544,0.30722198,0.680326,0.06969977170228958
0.153866,-0.06932853,1.1559032,-1.9988528,0.2997858,0.67678314,0.06046465411782265
0.06038034,-0.078542024,1.1407799,-1.9965452,0.29147983,0.6738224,0.05512463301420212
-0.032228336,-0.08766909,1.1218907,-1.9941465,0.2824308,0.67114925,0.052957430481910706
-0.12396936,-0.09671064,1.0992713,-1.9916329,0.27266666,0.6685425,0.050073668360710144
-0.21485056,-0.10566745,1.0729564,-1.9890168,0.262188,0.6659015,0.04495798796415329
-0.30487838,-0.114540145,1.0429814,-1.9863943,0.25106877,0.6632118,0.036470480263233185
-0.39405787,-0.12332924,1.0093812,-1.9826891,0.23923448,0.6620361,0.029955238103866577
-0.48239306,-0.13203514,0.97219205,-1.977477,0.2274056,0.66190803,0.030009321868419647
-0.5698867,-0.1406581,0.93145007,-1.9713596,0.2162007,0.66242915,0.0336870476603508
-0.65654075,-0.14919832,0.88719213,-1.9650104,0.20591456,0.66333216,0.037589870393276215
-0.74235624,-0.15765588,0.8394556,-1.9586096,0.19645469,0.66446924,0.04142763093113899
-0.82108665,-0.16541477,0.81340677,-1.9520059,0.1876491,0.6658231,0.046066321432590485
-0.88073695,-0.17129126,0.85777736,-1.9451252,0.17956163,0.66741836,0.04974118620157242
-0.93995535,-0.17712519,0.8979153,-1.9378725,0.17210439,0.6692919,0.05190977826714516
-0.9987607,-0.18291846,0.93386143,-1.9301955,0.1650764,0.6713227,0.05263100937008858
-1.0571705,-0.18867274,0.9656535,-1.9221208,0.15833052,0.67325324,0.05109851062297821
-1.1152008,-0.19438964,0.9933263,-1.9136714,0.1517166,0.674923,0.047441206872463226
-1.1728662,-0.20007056,1.0169121,-1.9048611,0.14509797,0.67619973,0.04276611655950546
-1.2301794,-0.20571686,1.0364405,-1.8958027,0.13842161,0.676847,0.03878229856491089
-1.2871522,-0.21132958,1.0519394,-1.8867986,0.13168749,0.67651784,0.036554254591464996
-1.3437941,-0.2169097,1.0634344,-1.8780291,0.12485711,0.6752232,0.037957221269607544
-1.4001133,-0.22245808,1.0709498,-1.8692759,0.117941186,0.67363805,0.042193055152893066
-1.4561166,-0.2279753,1.0745091,-1.8607414,0.111014046,0.6738421,0.03850572556257248
-1.5118088,-0.23346186,1.0741345,-1.8541898,0.10403061,0.6750945,0.03697677329182625
-1.4753451,-0.2396884,0.9888051,-1.850676,0.096806355,0.6763577,0.032798200845718384
-1.438912,-0.24585982,0.89992094,-1.8495129,0.08896994,0.67721164,0.034482669085264206
-1.402829,-0.25197187,0.80798477,-1.8489108,0.080872364,0.67805964,0.04593706503510475
-1.4064599,-0.2567544,0.7226656,-1.8477998,0.07266628,0.67877114,0.06901674717664719
-1.4391487,-0.2605299,0.6415036,-1.8460736,0.064239286,0.6784792,0.09927622973918915
-1.4715506,-0.26427227,0.55714536,-1.8439727,0.055446852,0.6767167,0.12256810814142227
-1.5036589,-0.26798072,0.46964297,-1.8419911,0.045943122,0.67309684,0.13748164474964142
-1.5354679,-0.27165458,0.37904978,-1.8401998,0.036022585,0.6684904,0.14372612535953522
-1.5669711,-0.27529314,0.28541988,-1.838574,0.02744575,0.6660881,0.15179075300693512
-1.5981634,-0.27889583,0.18880826,-1.8377776,0.021313913,0.66467655,0.15770608186721802
-1.6290394,-0.28246194,0.08927056,-1.8374826,0.017247574,0.663659,0.1579354852437973
1.2296691,-0.040319543,1.0649145,-1.8373559,0.014995551,0.66305983,0.15273576974868774
1.110812,-0.046178766,1.0954989,-1.8371415,0.01439552,0.66298187,0.1472858339548111
0.9933817,-0.05196765,1.1218132,-1.8369279,0.014966652,0.66295165,0.14400458335876465
0.87733454,-0.05768835,1.1439143,-1.8371067,0.015994897,0.66216147,0.14037282764911652
0.76263,-0.06334286,1.1618559,-1.8382452,0.016860152,0.6600815,0.1382788121700287
0.6492306,-0.06893305,1.1756895,-1.8407072,0.017355025,0.65642977,0.13912826776504517
0.53710157,-0.07446059,1.1854637,-1.8440801,0.017375963,0.65134656,0.13558052480220795
0.426211,-0.07992709,1.1912256,-1.8481154,0.016485728,0.6460682,0.12172021716833115
0.3165296,-0.08533398,1.1930197,-1.8526323,0.01432596,0.64037716,0.10063570737838745
0.20803046,-0.09068258,1.1908896,-1.8573005,0.011188275,0.63467693,0.07806915789842606
0.10068913,-0.09597411,1.184877,-1.8619977,0.0073873787,0.629176,0.057220470160245895
-0.005516663,-0.101209655,1.1750227,-1.8667281,0.0032386454,0.62393504,0.04068401828408241
-0.11060704,-0.10639022,1.1613662,-1.8715068,-0.000990976,0.6189128,0.0288991741836071
-0.2146001,-0.11151669,1.1439468,-1.8766502,-0.0052625895,0.6140876,0.01909727230668068
-0.317512,-0.11658987,1.122803,-1.8819467,-0.009338881,0.6103189,0.019859714433550835
-0.41935727,-0.12161046,1.0979725,-1.8872353,-0.012514891,0.6072322,0.027637047693133354
-0.52014863,-0.12657909,1.0694934,-1.8925717,-0.01453208,0.60431015,0.037122249603271484
-0.61989737,-0.13149633,1.0374033,-1.8980052,-0.015554365,0.60185874,0.047867488116025925
-0.71861315,-0.13636261,1.0017399,-1.9034196,-0.015645366,0.60039383,0.061443258076906204
-0.8163045,-0.14117844,0.96254075,-1.9086529,-0.014783933,0.60005444,0.0745590403676033
-0.9129786,-0.14594413,0.9198443,-1.9136378,-0.012950788,0.6003792,0.08255190402269363
-1.0086417,-0.15065996,0.873689,-1.918469,-0.010143654,0.60090375,0.08618944883346558
-1.103299,-0.1553262,0.82411355,-1.9232458,-0.006491169,0.60143495,0.08756852895021439
-1.1830451,-0.1592563,0.8269789,-1.9274936,-0.0021175619,0.60229117,0.08255591988563538
-1.2509251,-0.16260013,0.8707615,-1.9306045,0.0026275949,0.6047884,0.07680029422044754
-1.318271,-0.16591765,0.9102896,-1.9327402,0.0074320952,0.6081801,0.0775727853178978
